Active ingredient name - English,Active ingredient name - French,Reevaluation status,CAS number
"(9Z,12E)-9,12-TETRADECADIEN-1-YL ACETATE","ACÉTATE DE (Z,E)-9,12-TÉTRADÉCADIEN-1-YL",NO,30507-70-1
(E)-11-TETRADECENYL ACETATE,ACÉTATE DE (E)-11-TÉTRADÉCÉNYL (N.M.),NO,33189-72-9
(E)-4-TRIDECENYL ACETATE,ACÉTATE DE (E)-4-TRIDÉCÉNYL (N.M.),NO,72269-48-8
(E)-4-TRIDECENYL ACETATE + (Z)-4-TRIDECENYL ACETATE,ACÉTATE DE (E)-4-TRIDÉCÉNYLE + ACÉTATE DE (Z)-4-TRIDÉCÉNYLE,NO,
(E)-9 PENTADEEN-1-OL ACETATE,(E)-9 PENTADEEN-1-OL ACÉTATE,NO,64437-41-8
(E)-9-PENTADECENYL ACETATE,ACETATE DE (E)-9-PENTADECENYL,NO,
"(E,Z)-11-TETRADECEN-1-OL","(E,Z)-TÉTRADEC-11-ENOL",NO,
"(E,Z)-11-TETRADECENAL","(E,Z)-TÉTRADÉC-11-ÉNAL",NO,70893-80-0
"(E,Z)-11-TETRADECENYL ACETATE","ACÉTATE DE (E,Z)-11-TÉTRADÉCÉNYLE",NO,
"(E,Z)-2,13-OCTADECADIEN-1-OL","(2EZ,13Z)-OCTADÉCA-2,13-DIÉNOL",NO,123551-47-3
"(E,Z)-2,13-OCTADECADIEN-1-YL ACETATE","ACÉTATE DE (E,Z)-OCTADÉCA-2,13-DIÉN-1-YLE",NO,86252-65-5
"(E,Z)-3,13-OCTADECADIEN-1-YL ACETATE","ACÉTATE DE (E,Z)-OCTADÉCA-3,13-DIÉN-1-YLE",NO,53120-26-6
"(E,Z)-8,10-PENTADECADIENYL ACETATE","ACETATE DE (E,Z)-8,10-PENTADECADIENYL",NO,
"(E,Z)-9-DODECENYL ACETATE","ACÉTATE DE (E,Z)-DODEC-9-ÉNYLE (N.M.)",NO,
(UNSPECIFIED STRAIN) DOUBLE STRANDED RNA,(UNSPECIFIED STRAIN) DOUBLE STRANDED RNA,NO,
(Z)-11-TETRADECEN-1-OL,(Z)-TÉTRADEC-11-ENOL,NO,34010-15-6
(Z)-11-TETRADECENAL,(Z)-TÉTRADEC-11-ENAL,NO,35237-64-0
(Z)-11-TETRADECENYL ACETATE,ACÉTATE DE (Z)-11-TÉTRADÉCÉNYLE,NO,20711-10-8
(Z)-4-TRIDECENYL ACETATE,ACÉTATE DE (Z)-4-TRIDÉCÉNYLE (N.M.),NO,65954-19-0
(Z)-9-DODECENYL ACETATE,ACÉTATE DE (Z)-DODEC-9-ÉNYLE (N.M.),NO,16974-11-1
(Z)-9-TETRADECEN-1-YL ACETATE,ACÉTATE DE (Z)-TÉTRADEC-9-ÉNYLE,NO,16725-53-4
(Z)-9-TRICOSENE OR MUSCALURE,(Z)-9-TRICOSÈNE OU MUSCALURE,NO,27519-02-4
"(Z,E)-7,11-HEXADECADIENYL ACETATE","ACÉTATE DE (Z,E)-7,11-HEXADÉCADIÉNYLE",NO,51607-94-4
"(Z,Z)-11,13-HEXADECADIENAL","(Z,Z)-11,13-HEXADÉCADIÉNAL",NO,71317-73-2
"(Z,Z)-3,13-OCTADECADIEN-1-OL","(3Z,13Z)-OCTADÉCA-3,13-DIÉNOL",NO,66410-24-0
"(Z,Z)-3,13-OCTADECADIEN-1-YL ACETATE","ACÉTATE DE (Z,Z)-OCTADÉCA-3,13-DIÉN-1-YLE",NO,53120-27-7
"(Z,Z)-7,11-HEXADECADIENYL ACETATE","ACÉTATE DE (Z,Z)-7,11-HEXADÉCADIÉNYLE",NO,52207-99-5
"(Z,Z)/(E,Z)-3,13-OCTADECADIENYL ACETATE","ACÉTATE DE (Z,Z)/(E,Z)-3,13-OCTADÉCADIÉNYLE",NO,
"1,2-BENZISOTHIAZOLIN-3-ONE","1,2-BENZISOTHIAZOLIN-3-ONE (N.M.)",YES,2634-33-5
"1,2-DIBROMO-2,4-DICYANOBUTANE","1,2-DIBROMO-2,4-DICYANOBUTANE (N.M.)",YES,35691-65-7
"1,2-ETHANEDIOL","ETHANEDIOL-1,2",NO,107-21-1
"1,3-BIS(HYDROXYMETHYL)-5,5-DIMETHYLHYDANTOIN","1,3-BIS(HYDROXYMÉTHYL)-5,5-DIMÉTHYLHYDANTOIN",NO,6440-58-0
